Unnamed: 0,Interaction,Value,Time,Attribute,User_Index
626,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850415,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",626
627,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850665,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",627
628,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850681,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",628
629,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850681,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",629
630,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515851137,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",630
631,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515851137,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",631
632,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515851154,"['Rotten_Tomatoes_Rating', 'Worldwide_Gross']",632
633,clicked on a field,remove Worldwide_Gross,1604515853153,['None'],633
634,main chart changed because of clicking a field,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1604515853286,['Rotten_Tomatoes_Rating'],634
635,clicked on a field,add US_Gross,1604515854170,['None'],635
636,main chart changed because of clicking a field,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,US_Gross-quantitative-y",1604515854218,"['Rotten_Tomatoes_Rating', 'US_Gross']",636
637,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,US_Gross-quantitative-y",1604515857271,"['Rotten_Tomatoes_Rating', 'US_Gross']",637
638,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,US_Gross-quantitative-y",1604515857288,"['Rotten_Tomatoes_Rating', 'US_Gross']",638
639,clicked on a field,remove Rotten_Tomatoes_Rating,1604515861873,['None'],639
640,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515861929,['US_Gross'],640
641,clicked on a field,add Production_Budget,1604515862658,['None'],641
642,main chart changed because of clicking a field,"mark:point;encoding:Production_Budget-quantitative-x,US_Gross-quantitative-y",1604515862702,"['Production_Budget', 'US_Gross']",642
643,clicked on a field,remove Production_Budget,1604515865115,['None'],643
644,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515865159,['US_Gross'],644
645,clicked on a field,add IMDB_Votes,1604515866088,['None'],645
646,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Votes-quantitative-x,US_Gross-quantitative-y",1604515866136,"['IMDB_Votes', 'US_Gross']",646
647,clicked on a field,remove IMDB_Votes,1604515868461,['None'],647
648,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515868517,['US_Gross'],648
649,clicked on a field,add IMDB_Rating,1604515869195,['None'],649
650,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515869239,"['IMDB_Rating', 'US_Gross']",650
651,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515870533,"['IMDB_Rating', 'US_Gross']",651
652,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515870590,"['IMDB_Rating', 'US_Gross']",652
653,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515872089,"['IMDB_Rating', 'US_Gross']",653
654,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515872155,"['IMDB_Rating', 'US_Gross']",654
