Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro19_bcf_p2,0.3,0.01,0.1,1.0,0.6304347826086957,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.4,0.1,0.8,1.0,0.717948717948718,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.5,0.1,0.5,1.0,0.696969696969697,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.6,0.1,0.9,1.0,0.6923076923076923,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.7,0.1,0.5,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.8,0.001,0.1,1.0,0.3846153846153846,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro19_bcf_p2,0.9,0.1,0.05,1.0,0.2857142857142857,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.05,0.0001,0.1,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.1,0.0001,0.2,1.0,0.5813953488372093,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.2,0.001,0.9,1.0,0.131578947368421,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.3,0.01,0.5,1.0,0.2727272727272727,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.4,0.0001,0.05,1.0,0.7241379310344828,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.5,0.0001,0.05,1.0,0.7083333333333334,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.6,0.0001,0.5,1.0,0.7894736842105263,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.7,0.01,0.8,1.0,0.8666666666666667,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.8,0.01,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro2_bce_p2,0.9,0.001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.05,0.0001,0.1,1.0,0.8064516129032258,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.1,0.0001,0.9,1.0,0.1724137931034483,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.2,0.0001,0.99,1.0,0.8461538461538461,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.3,0.01,0.1,1.0,0.9565217391304348,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.4,0.1,0.5,1.0,0.95,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.5,0.1,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.6,0.1,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.7,0.001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.8,0.001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu12_bdf_p2,0.9,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.05,0.0001,0.05,1.0,0.3333333333333333,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.1,0.0001,0.2,1.0,0.5882352941176471,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.2,0.0001,0.99,1.0,0.5666666666666667,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.3,0.0001,0.8,1.0,0.3846153846153846,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.4,0.001,0.05,1.0,0.6521739130434783,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.5,0.1,0.99,1.0,0.2631578947368421,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.6,0.0001,0.99,1.0,0.7333333333333333,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.7,0.0001,0.05,1.0,0.9166666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.8,0.0001,0.9,1.0,0.875,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro7_bde_p2,0.9,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.05,0.0001,0.05,1.0,0.3181818181818182,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.1,0.0001,0.05,1.0,0.2857142857142857,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.2,0.001,0.1,1.0,0.7368421052631579,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.3,0.01,0.05,1.0,0.7647058823529411,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.4,0.001,0.1,1.0,0.8571428571428571,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.5,0.001,0.9,1.0,0.9166666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.6,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.7,0.01,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.8,0.1,0.9,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu19_bde_p2,0.9,0.01,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.05,0.1,0.05,1.0,0.7073170731707317,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.1,0.1,0.2,1.0,0.717948717948718,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.2,0.0001,0.1,1.0,0.7428571428571429,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.3,0.1,0.8,1.0,0.7096774193548387,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.4,0.1,0.05,1.0,0.6538461538461539,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.5,0.0001,0.05,1.0,0.5909090909090909,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.6,0.001,0.2,1.0,0.6111111111111112,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.7,0.5,0.8,1.0,0.6923076923076923,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.8,0.1,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu14_bcf_p2,0.9,0.1,0.8,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.05,0.0001,0.2,1.0,0.7777777777777778,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.1,0.0001,0.8,1.0,0.7777777777777778,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.2,0.0001,0.8,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.3,0.0001,0.1,1.0,0.1428571428571428,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.4,0.01,0.05,1.0,0.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.5,0.1,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.6,0.0001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.7,0.0001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.8,0.001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,stu20_bdf_p2,0.9,0.0001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.05,0.0001,0.2,1.0,0.5957446808510638,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.1,0.1,0.8,1.0,0.2696629213483146,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.2,0.0001,0.99,1.0,0.6329113924050633,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.3,0.0001,0.8,1.0,0.6231884057971014,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.4,0.0001,0.2,1.0,0.6610169491525424,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.5,0.0001,0.5,1.0,0.673469387755102,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.6,0.1,0.05,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro12_bdf_p2,0.7,0.1,0.99,1.0,0.7333333333333333,"[None, None, None]",0.0,0.0,Focused,p2,,,,
