UserIndex,Action,State,TimeStamp,HighLevelAction,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
43,pan,Sensemaking,2016-06-06 20:18:14.416,change,1.0,0.5714285714285714,4.583,10,2,1,5,0.266498625,1,3,40.997175,-107.49087499999999,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[40.1825, -111.804], [41.8384, -108.703], [40.149, -107.831], [41.8365, -105.309], [40.149, -107.831], [41.8365, -105.309], [40.149, -107.831], [41.8365, -105.309]]",Wyoming,SouthWest,8.14340420951131,change
44,zoom,Navigation,2016-06-06 20:18:21.059,change,0.30434782608695654,0.7037037037037037,6.643,10,3,1,4,0.632255625,1,4,41.7476125,-105.22398749999999,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189], [41.75, -111.985], [45.124, -105.26], [41.7504, -105.244], [45.1093, -98.502]]",Utah,NorthernRockiesPlains,0.0,change
45,zoom,Navigation,2016-06-06 20:18:21.697,same,0.7083333333333334,0.7142857142857143,0.638,10,3,1,3,0.650957125,1,4,41.8029375,-111.7233375,"['None', 'SouthWest', 'South', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.4466, -124.124], [41.7065, -112.025], [35.0085, -111.96], [41.7484, -98.5357], [41.7759, -124.65], [48.4972, -112.005], [41.7504, -111.985], [48.49, -98.502]]",None,NorthernRockiesPlains,0.0,same
46,zoom,Navigation,2016-06-06 20:18:22.288,same,0.72,0.7241379310344828,0.591,10,3,1,2,0.651013625,1,4,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'NorthernRockiesPlains']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,same
47,pan,Foraging,2016-06-06 20:18:25.639,change,0.2,0.5833333333333334,3.351,10,3,1,2,0.0,1,4,47.377750000000006,-105.25985,"['West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains']","[[41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237]]",Nevada,West,2.470813561818985,change
48,pan,Foraging,2016-06-06 20:18:42.597,same,0.8095238095238095,0.6,16.958,0,3,1,2,0.29083649999999994,1,4,44.5777875,-82.364875,"['South', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,Northeast,344.14537015097875,same
49,pan,Foraging,2016-06-06 20:18:47.164,same,0.8181818181818182,0.6153846153846154,4.567,0,3,2,2,0.0,1,4,47.3949,-82.7435,"['UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,342.34015477777075,same
50,zoom,Navigation,2016-06-06 20:18:48.128,change,0.3076923076923077,0.7333333333333333,0.964,0,3,2,3,0.6344531250000001,1,4,47.8727125,-99.42622499999999,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355], [48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,0.0,change
51,zoom,Navigation,2016-06-06 20:18:48.840,same,0.7037037037037037,0.7419354838709677,0.712,0,3,2,4,0.619396625,1,4,48.494,-98.5404125,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.1276, -105.248], [48.4992, -98.8713], [45.1255, -98.4456], [48.458, -91.7582], [48.5, -105.248], [51.8672, -98.5139], [48.5025, -98.4831], [51.872, -91.7552]]",Montana,NorthernRockiesPlains,0.0,same
52,zoom,Navigation,2016-06-06 20:18:50.864,same,0.7142857142857143,0.75,2.024,0,3,2,5,0.6397081250000001,2,4,48.5971125,-101.7785875,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[47.018, -105.154], [48.6036, -101.777], [46.9173, -101.775], [48.6054, -98.4245], [48.6097, -105.153], [50.2985, -101.777], [48.6086, -101.774], [50.1158, -98.3942]]",North Dakota,NorthernRockiesPlains,0.0,same
