u,Trial,Task,Experiment,Openendedness,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
stu10,0,p1,moviesacf,focused,0.7857142857142857,0,0.10714285714285714,0,0.03571428571428571,0,0.07142857142857142,0
stu10,0,p1,moviesacf,focused,0.7857142857142857,0,0.10714285714285714,0,0.03571428571428571,0,0.07142857142857142,0
stu10,0,p1,moviesacf,focused,0.7857142857142857,0,0.10714285714285714,0,0.03571428571428571,0,0.07142857142857142,0
stu10,1,p1,moviesacf,focused,0.47368421052631576,0,0.10526315789473684,0,0.21052631578947367,0,0.21052631578947367,0
stu10,1,p1,moviesacf,focused,0.47368421052631576,0,0.10526315789473684,0,0.21052631578947367,0,0.21052631578947367,0
stu10,1,p1,moviesacf,focused,0.47368421052631576,0,0.10526315789473684,0,0.21052631578947367,0,0.21052631578947367,0
stu10,1,p1,moviesacf,focused,0.47368421052631576,0,0.10526315789473684,0,0.21052631578947367,0,0.21052631578947367,0
stu11,0,p1,moviesadf,focused,0.6363636363636364,0,0.09090909090909091,0,0.2727272727272727,0,0.0,0
stu11,0,p1,moviesadf,focused,0.6363636363636364,0,0.09090909090909091,0,0.2727272727272727,0,0.0,0
stu11,0,p1,moviesadf,focused,0.6363636363636364,0,0.09090909090909091,0,0.2727272727272727,0,0.0,0
stu11,0,p1,moviesadf,focused,0.6363636363636364,0,0.09090909090909091,0,0.2727272727272727,0,0.0,0
stu11,1,p1,moviesadf,focused,0.75,0,0.125,0,0.0,0,0.125,0
stu11,1,p1,moviesadf,focused,0.75,0,0.125,0,0.0,0,0.125,0
stu11,1,p1,moviesadf,focused,0.75,0,0.125,0,0.0,0,0.125,0
stu11,1,p1,moviesadf,focused,0.75,0,0.125,0,0.0,0,0.125,0
stu13,0,p1,moviesacf,focused,0.6666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0.0,0
stu13,0,p1,moviesacf,focused,0.6666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0.0,0
stu13,0,p1,moviesacf,focused,0.6666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0.0,0
stu13,0,p1,moviesacf,focused,0.6666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0.0,0
stu13,1,p1,moviesacf,focused,0.7,0,0.0,0,0.1,0,0.2,0
