Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
SARSA,U_3,0.01,0.05,0.0001,0.05,0.5227272727272727,"[0.8409090909090909, 0.1388888888888889, 0.5]"
SARSA,U_3,0.01,0.1,0.0001,0.05,0.4878048780487805,"[0.7894736842105263, 0.1111111111111111, 0.75]"
SARSA,U_3,0.01,0.2,0.5,0.8,0.6111111111111112,"[0.47058823529411764, 0.7333333333333333, 0.75]"
SARSA,U_3,0.1,0.3,0.5,0.2,0.71875,"[0.7647058823529411, 0.6666666666666666, 0.6666666666666666]"
SARSA,U_3,0.1,0.4,0.0001,0.2,0.8518518518518519,"[0.875, 0.7777777777777778, 1.0]"
SARSA,U_3,0.1,0.5,0.1,0.05,0.782608695652174,"[0.75, 0.7777777777777778, 1.0]"
SARSA,U_3,0.1,0.6,0.1,0.1,0.7222222222222222,"[0.7777777777777778, 0.5714285714285714, 1.0]"
SARSA,U_3,0.01,0.7,0.1,0.05,0.8571428571428571,"[0.8888888888888888, 0.6666666666666666, 1.0]"
SARSA,U_3,0.1,0.8,0.1,0.05,0.8888888888888888,"[0.875, 0, 1.0]"
SARSA,U_3,0.01,0.9,0.1,0.05,0.8,"[0.75, 0, 1.0]"
SARSA,U_4,0.1,0.05,0.0001,0.5,0.5379746835443038,"[0.6744186046511628, 0.5542168674698795, 0.3125]"
SARSA,U_4,0.05,0.1,0.5,0.9,0.4657534246575342,"[0.5, 0.4864864864864865, 0.375]"
SARSA,U_4,0.05,0.2,0.5,0.2,0.5846153846153846,"[0.6, 0.5882352941176471, 0.5454545454545454]"
SARSA,U_4,0.1,0.3,0.5,0.1,0.5087719298245614,"[0.42105263157894735, 0.59375, 0.3333333333333333]"
SARSA,U_4,0.1,0.4,0.5,0.5,0.46938775510204084,"[0.29411764705882354, 0.5925925925925926, 0.4]"
SARSA,U_4,0.1,0.5,0.1,0.05,0.6585365853658537,"[0.6923076923076923, 0.6956521739130435, 0.4]"
SARSA,U_4,0.01,0.6,0.5,0.9,0.6666666666666666,"[0.7272727272727273, 0.6842105263157895, 0.3333333333333333]"
SARSA,U_4,0.05,0.7,0.5,0.9,0.72,"[0.6666666666666666, 0.7647058823529411, 0.5]"
SARSA,U_4,0.1,0.8,0.5,0.2,0.6470588235294118,"[0.0, 0.7142857142857143, 0.5]"
SARSA,U_4,0.1,0.9,0.5,0.2,0.4444444444444444,"[0.0, 0.5714285714285714, 0.0]"
SARSA,U_5,0.01,0.05,0.5,0.5,0.45634920634920634,"[0.5833333333333334, 0.7352941176470589, 0.11764705882352941]"
SARSA,U_5,0.1,0.1,0.5,0.2,0.6410256410256411,"[0.5217391304347826, 0.5625, 0.782608695652174]"
SARSA,U_5,0.1,0.2,0.1,0.5,0.6923076923076923,"[0.2857142857142857, 0.6923076923076923, 0.8863636363636364]"
SARSA,U_5,0.01,0.3,0.1,0.1,0.6923076923076923,"[0.15, 0.7586206896551724, 0.9047619047619048]"
SARSA,U_5,0.1,0.4,0.0001,0.8,0.6794871794871795,"[0.17647058823529413, 0.7619047619047619, 0.85]"
SARSA,U_5,0.1,0.5,0.0001,0.8,0.676923076923077,"[0.11764705882352941, 0.7619047619047619, 0.9629629629629629]"
SARSA,U_5,0.1,0.6,0.01,0.1,0.8076923076923077,"[0.7, 0.7647058823529411, 0.88]"
SARSA,U_5,0.1,0.7,0.1,0.1,0.7948717948717948,"[0.5, 0.6666666666666666, 0.9090909090909091]"
SARSA,U_5,0.01,0.8,0.1,0.2,0.9615384615384616,"[0, 0.9, 1.0]"
SARSA,U_5,0.05,0.9,0.01,0.1,0.9230769230769231,"[0, 0, 0.9230769230769231]"
SARSA,U_6,0.01,0.05,0.5,0.05,0.6010498687664042,"[0.73, 0.6277372262773723, 0.4861111111111111]"
SARSA,U_6,0.1,0.1,0.1,0.05,0.4318181818181818,"[0.7, 0.546875, 0.18055555555555555]"
SARSA,U_6,0.01,0.2,0.5,0.1,0.391025641025641,"[0.5333333333333333, 0.6545454545454545, 0.1267605633802817]"
SARSA,U_6,0.1,0.3,0.1,0.2,0.7518248175182481,"[0.631578947368421, 0.673469387755102, 0.8405797101449275]"
SARSA,U_6,0.01,0.4,0.1,0.1,0.7350427350427351,"[0.631578947368421, 0.6739130434782609, 0.8269230769230769]"
SARSA,U_6,0.1,0.5,0.1,0.9,0.7346938775510204,"[0.5384615384615384, 0.675, 0.8444444444444444]"
SARSA,U_6,0.05,0.6,0.1,0.8,0.782051282051282,"[0.6363636363636364, 0.7096774193548387, 0.8888888888888888]"
SARSA,U_6,0.1,0.7,0.1,0.05,0.7288135593220338,"[0.6666666666666666, 0.68, 0.8]"
SARSA,U_6,0.05,0.8,0.1,0.5,0.717948717948718,"[0.7142857142857143, 0.5384615384615384, 0.8421052631578947]"
SARSA,U_6,0.05,0.9,0.1,0.8,0.75,"[0.75, 0.6, 0.8181818181818182]"
SARSA,U_7,0.1,0.05,0.0001,0.05,0.53125,"[0.7368421052631579, 0.6274509803921569, 0.19230769230769232]"
SARSA,U_7,0.01,0.1,0.0001,0.05,0.5333333333333333,"[0.4444444444444444, 0.7391304347826086, 0.23076923076923078]"
SARSA,U_7,0.01,0.2,0.0001,0.05,0.425,"[0.2222222222222222, 0.6666666666666666, 0.23076923076923078]"
SARSA,U_7,0.1,0.3,0.01,0.05,0.42857142857142855,"[0.2222222222222222, 0.7857142857142857, 0.16666666666666666]"
SARSA,U_7,0.1,0.4,0.1,0.05,0.5333333333333333,"[0.5, 0.7142857142857143, 0.3333333333333333]"
SARSA,U_7,0.01,0.5,0.5,0.5,0.44,"[1.0, 0.6666666666666666, 0.16666666666666666]"
SARSA,U_7,0.1,0.6,0.1,0.1,0.7,"[0.0, 0.7, 0.7777777777777778]"
SARSA,U_7,0.1,0.7,0.01,0.1,0.3333333333333333,"[0, 0.6666666666666666, 0.1111111111111111]"
SARSA,U_7,0.1,0.8,0.1,0.1,0.7,"[0, 0.3333333333333333, 0.8571428571428571]"
SARSA,U_7,0.01,0.9,0.5,0.05,0.6,"[0, 0.6666666666666666, 0.5]"
SARSA,U_8,0.01,0.05,0.01,0.1,0.5625,"[0.23809523809523808, 0.7835051546391752, 0.21428571428571427]"
SARSA,U_8,0.01,0.1,0.0001,0.05,0.581081081081081,"[0.3, 0.7906976744186046, 0.2857142857142857]"
SARSA,U_8,0.1,0.2,0.1,0.05,0.5303030303030303,"[0.3, 0.7567567567567568, 0.21052631578947367]"
SARSA,U_8,0.1,0.3,0.01,0.9,0.4482758620689655,"[0.3, 0.6206896551724138, 0.2631578947368421]"
SARSA,U_8,0.01,0.4,0.5,0.05,0.7,"[0.4, 0.76, 0.8]"
SARSA,U_8,0.01,0.5,0.5,0.5,0.5609756097560976,"[0.2222222222222222, 0.7222222222222222, 0.5714285714285714]"
SARSA,U_8,0.1,0.6,0.1,0.2,0.6060606060606061,"[0.2222222222222222, 0.7272727272727273, 0.7692307692307693]"
SARSA,U_8,0.05,0.7,0.1,0.05,0.56,"[0.125, 0.625, 0.8888888888888888]"
SARSA,U_8,0.01,0.8,0.1,0.1,0.6470588235294118,"[0.2, 0.8, 0.8571428571428571]"
SARSA,U_8,0.05,0.9,0.0001,0.2,0.8888888888888888,"[0, 0.5, 1.0]"
SARSA,U_9,0.1,0.05,0.0001,0.05,0.6210045662100456,"[0.7222222222222222, 0.6942148760330579, 0.29545454545454547]"
SARSA,U_9,0.1,0.1,0.1,0.1,0.5841584158415841,"[0.3076923076923077, 0.7090909090909091, 0.6]"
SARSA,U_9,0.1,0.2,0.0001,0.05,0.7111111111111111,"[0.7916666666666666, 0.7021276595744681, 0.631578947368421]"
SARSA,U_9,0.1,0.3,0.0001,0.1,0.6962025316455697,"[0.6666666666666666, 0.717391304347826, 0.6666666666666666]"
SARSA,U_9,0.1,0.4,0.01,0.05,0.7205882352941176,"[0.7333333333333333, 0.7105263157894737, 0.7333333333333333]"
SARSA,U_9,0.01,0.5,0.1,0.05,0.5892857142857143,"[0.6923076923076923, 0.7241379310344828, 0.21428571428571427]"
SARSA,U_9,0.01,0.6,0.5,0.8,0.5777777777777777,"[0.7272727272727273, 0.7272727272727273, 0.16666666666666666]"
SARSA,U_9,0.01,0.7,0.5,0.8,0.5294117647058824,"[0.75, 0.6428571428571429, 0.25]"
SARSA,U_9,0.05,0.8,0.01,0.1,0.4782608695652174,"[0.6, 0.7777777777777778, 0.1111111111111111]"
SARSA,U_9,0.01,0.9,0.1,0.05,0.25,"[0.0, 0.75, 0.0]"
