Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
AC,U_6,0.7,0.5,0.1,1,0.7627118644067796,"[0.6666666666666666, 0.72, 0.84]"
AC,U_6,0.8,0.001,0.05,1,0.7692307692307693,"[0.7142857142857143, 0.6153846153846154, 0.8947368421052632]"
AC,U_6,0.9,0.001,0.1,1,0.75,"[0.75, 0.6, 0.8181818181818182]"
AC,U_7,0.05,0.0001,0.2,1,0.23404255319148937,"[0.2222222222222222, 0.24, 0.23076923076923078]"
AC,U_7,0.1,0.0001,0.1,1,0.35555555555555557,"[0.3333333333333333, 0.34782608695652173, 0.38461538461538464]"
AC,U_7,0.2,0.01,0.1,1,0.725,"[0.7777777777777778, 0.6666666666666666, 0.7692307692307693]"
AC,U_7,0.3,0.001,0.05,1,0.5142857142857142,"[0.4444444444444444, 0.5714285714285714, 0.5]"
AC,U_7,0.4,0.01,0.2,1,0.5666666666666667,"[0.5, 0.7142857142857143, 0.4166666666666667]"
AC,U_7,0.5,0.001,0.1,1,0.64,"[0.0, 0.6666666666666666, 0.6666666666666666]"
AC,U_7,0.6,0.01,0.9,1,0.4,"[0.0, 0.7, 0.1111111111111111]"
AC,U_7,0.7,0.001,0.1,1,0.6666666666666666,"[0, 0.6666666666666666, 0.6666666666666666]"
AC,U_7,0.8,0.001,0.9,1,0.4,"[0, 0.6666666666666666, 0.2857142857142857]"
AC,U_7,0.9,0.001,0.1,1,0.6,"[0, 0.6666666666666666, 0.5]"
AC,U_8,0.05,0.001,0.99,1,0.6282051282051282,"[0.6, 0.6170212765957447, 0.6666666666666666]"
AC,U_8,0.1,0.001,0.05,1,0.6216216216216216,"[0.3, 0.7441860465116279, 0.5238095238095238]"
AC,U_8,0.2,0.5,0.05,1,0.6818181818181818,"[0.3, 0.7297297297297297, 0.7894736842105263]"
AC,U_8,0.3,0.01,0.9,1,0.46551724137931033,"[0.3, 0.6551724137931034, 0.2631578947368421]"
AC,U_8,0.4,0.01,0.2,1,0.74,"[0.7, 0.76, 0.7333333333333333]"
AC,U_8,0.5,0.1,0.99,1,0.7073170731707317,"[0.3333333333333333, 0.7222222222222222, 0.9285714285714286]"
AC,U_8,0.6,0.5,0.8,1,0.6363636363636364,"[0.2222222222222222, 0.6363636363636364, 0.9230769230769231]"
AC,U_8,0.7,0.5,0.05,1,0.8,"[0.875, 0.75, 0.7777777777777778]"
AC,U_8,0.8,0.01,0.8,1,0.8823529411764706,"[0.8, 0.8, 1.0]"
AC,U_8,0.9,0.001,0.8,1,0.6666666666666666,"[0, 0.5, 0.7142857142857143]"
AC,U_9,0.05,0.0001,0.8,1,0.27102803738317754,"[0.23076923076923078, 0.2711864406779661, 0.3181818181818182]"
AC,U_9,0.1,0.01,0.2,1,0.693069306930693,"[0.6923076923076923, 0.7272727272727273, 0.6]"
AC,U_9,0.2,0.01,0.2,1,0.5888888888888889,"[0.625, 0.6808510638297872, 0.3157894736842105]"
AC,U_9,0.3,0.01,0.9,1,0.6582278481012658,"[0.6, 0.717391304347826, 0.5555555555555556]"
AC,U_9,0.4,0.001,0.8,1,0.7058823529411765,"[0.6666666666666666, 0.7105263157894737, 0.7333333333333333]"
AC,U_9,0.5,0.001,0.05,1,0.75,"[0.6923076923076923, 0.7241379310344828, 0.8571428571428571]"
AC,U_9,0.6,0.001,0.05,1,0.6888888888888889,"[0.6363636363636364, 0.7272727272727273, 0.6666666666666666]"
AC,U_9,0.7,1.0,0.2,1,0.6764705882352942,"[0.75, 0.6428571428571429, 0.6666666666666666]"
AC,U_9,0.8,0.1,0.1,1,0.782608695652174,"[0.8, 0.6666666666666666, 0.8888888888888888]"
AC,U_9,0.9,0.1,0.5,1,0.8333333333333334,"[0.0, 0.75, 1.0]"
