User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
U_20,0.05,0.4,0.1,0.2,0.782051282051282,"[0.7142857142857143, 0.5789473684210527, 0.8888888888888888]"
U_20,0.01,0.5,0.1,0.05,0.7846153846153846,"[0.5714285714285714, 0.625, 0.8809523809523809]"
U_20,0.1,0.6,0.1,0.1,0.7692307692307693,"[0.6, 0.5833333333333334, 0.8571428571428571]"
U_20,0.1,0.7,0.1,0.9,0.8205128205128205,"[0.5, 0.5714285714285714, 0.9]"
U_20,0.01,0.8,0.5,0.5,0.8461538461538461,"[0.5, 0.7142857142857143, 0.9411764705882353]"
U_20,0.01,0.9,0.5,0.2,0.5384615384615384,"[0.5, 0.42857142857142855, 0.75]"
U_3,0.01,0.05,0.0001,0.05,0.5113636363636364,"[0.8181818181818182, 0.1388888888888889, 0.5]"
U_3,0.01,0.1,0.0001,0.05,0.5121951219512195,"[0.8421052631578947, 0.1111111111111111, 0.75]"
U_3,0.01,0.2,0.01,0.9,0.8055555555555556,"[0.8823529411764706, 0.7333333333333333, 0.75]"
U_3,0.1,0.3,0.1,0.05,0.71875,"[0.8823529411764706, 0.6666666666666666, 0.0]"
U_3,0.1,0.4,0.1,0.1,0.8518518518518519,"[0.875, 0.7777777777777778, 1.0]"
U_3,0.1,0.5,0.5,0.8,0.6956521739130435,"[0.75, 0.7777777777777778, 0.0]"
U_3,0.05,0.6,0.1,0.2,0.8333333333333334,"[0.8888888888888888, 0.7142857142857143, 1.0]"
U_3,0.01,0.7,0.1,0.05,0.8571428571428571,"[0.8888888888888888, 0.6666666666666666, 1.0]"
U_3,0.1,0.8,0.1,0.9,0.8888888888888888,"[0.875, 0, 1.0]"
U_3,0.1,0.9,0.1,0.1,0.6,"[0.75, 0, 0.0]"
U_4,0.1,0.05,0.5,0.1,0.5443037974683544,"[0.627906976744186, 0.5783132530120482, 0.34375]"
U_4,0.1,0.1,0.1,0.9,0.5342465753424658,"[0.6, 0.5675675675675675, 0.375]"
U_4,0.1,0.2,0.1,0.1,0.6615384615384615,"[0.65, 0.7058823529411765, 0.5454545454545454]"
U_4,0.1,0.3,0.1,0.2,0.47368421052631576,"[0.47368421052631576, 0.53125, 0.16666666666666666]"
U_4,0.1,0.4,0.1,0.5,0.4489795918367347,"[0.17647058823529413, 0.6296296296296297, 0.4]"
U_4,0.1,0.5,0.1,0.1,0.6097560975609756,"[0.6153846153846154, 0.6521739130434783, 0.4]"
U_4,0.1,0.6,0.01,0.1,0.696969696969697,"[0.7272727272727273, 0.7368421052631579, 0.3333333333333333]"
U_4,0.05,0.7,0.5,0.5,0.64,"[0.6666666666666666, 0.7058823529411765, 0.0]"
U_4,0.1,0.8,0.1,0.2,0.6470588235294118,"[0.0, 0.7142857142857143, 0.5]"
U_4,0.05,0.9,0.5,0.05,0.5555555555555556,"[0.0, 0.7142857142857143, 0.0]"
U_5,0.1,0.05,0.0001,0.2,0.4007936507936508,"[0.2708333333333333, 0.7254901960784313, 0.13725490196078433]"
U_5,0.1,0.1,0.0001,0.5,0.7777777777777778,"[0.782608695652174, 0.6666666666666666, 0.8913043478260869]"
U_5,0.1,0.2,0.5,0.2,0.7884615384615384,"[0.7619047619047619, 0.6923076923076923, 0.8863636363636364]"
U_5,0.1,0.3,0.01,0.2,0.6593406593406593,"[0.3, 0.6896551724137931, 0.8095238095238095]"
U_5,0.05,0.4,0.01,0.05,0.717948717948718,"[0.17647058823529413, 0.7619047619047619, 0.925]"
U_5,0.01,0.5,0.1,0.05,0.7076923076923077,"[0.35294117647058826, 0.7619047619047619, 0.8888888888888888]"
U_5,0.01,0.6,0.1,0.05,0.8461538461538461,"[0.8, 0.7647058823529411, 0.92]"
U_5,0.1,0.7,0.1,0.05,0.8461538461538461,"[0.5, 0.8, 0.9090909090909091]"
U_5,0.01,0.8,0.1,0.05,0.9615384615384616,"[0, 0.9, 1.0]"
U_5,0.01,0.9,0.1,0.2,1.0,"[0, 0, 1.0]"
U_6,0.1,0.05,0.1,0.1,0.6876640419947506,"[0.72, 0.5985401459854015, 0.75]"
U_6,0.1,0.1,0.0001,0.8,0.6363636363636364,"[0.725, 0.59375, 0.625]"
U_6,0.1,0.2,0.1,0.05,0.6666666666666666,"[0.6666666666666666, 0.6727272727272727, 0.6619718309859155]"
U_6,0.1,0.3,0.01,0.2,0.39416058394160586,"[0.5789473684210527, 0.6122448979591837, 0.18840579710144928]"
U_6,0.1,0.4,0.5,0.8,0.717948717948718,"[0.5789473684210527, 0.6739130434782609, 0.8076923076923077]"
U_6,0.01,0.5,0.1,0.05,0.7551020408163265,"[0.5384615384615384, 0.7, 0.8666666666666667]"
U_6,0.1,0.6,0.1,0.2,0.7564102564102564,"[0.6363636363636364, 0.6774193548387096, 0.8611111111111112]"
U_6,0.1,0.7,0.1,0.8,0.6779661016949152,"[0.6666666666666666, 0.6, 0.76]"
U_6,0.01,0.8,0.1,0.2,0.7692307692307693,"[0.7142857142857143, 0.6153846153846154, 0.8947368421052632]"
U_6,0.1,0.9,0.1,0.5,0.85,"[0.75, 0.8, 0.9090909090909091]"
U_7,0.01,0.05,0.0001,0.05,0.59375,"[0.7894736842105263, 0.7254901960784313, 0.19230769230769232]"
U_7,0.01,0.1,0.0001,0.05,0.4888888888888889,"[0.2222222222222222, 0.7391304347826086, 0.23076923076923078]"
U_7,0.01,0.2,0.0001,0.05,0.4,"[0.2222222222222222, 0.6111111111111112, 0.23076923076923078]"
U_7,0.1,0.3,0.01,0.5,0.4,"[0.2222222222222222, 0.7142857142857143, 0.16666666666666666]"
U_7,0.01,0.4,0.1,0.1,0.4666666666666667,"[0.5, 0.7142857142857143, 0.16666666666666666]"
U_7,0.1,0.5,0.01,0.8,0.4,"[0.0, 0.5833333333333334, 0.25]"
U_7,0.1,0.6,0.5,0.8,0.7,"[1.0, 0.5, 0.8888888888888888]"
U_7,0.1,0.7,0.01,0.5,0.3333333333333333,"[0, 0.6666666666666666, 0.1111111111111111]"
U_7,0.1,0.8,0.1,0.5,0.8,"[0, 0.6666666666666666, 0.8571428571428571]"
U_7,0.05,0.9,0.1,0.05,0.6,"[0, 0.6666666666666666, 0.5]"
U_8,0.01,0.05,0.0001,0.05,0.63125,"[0.7619047619047619, 0.7731958762886598, 0.23809523809523808]"
U_8,0.01,0.1,0.0001,0.05,0.5675675675675675,"[0.3, 0.7906976744186046, 0.23809523809523808]"
U_8,0.01,0.2,0.1,0.1,0.5454545454545454,"[0.3, 0.7837837837837838, 0.21052631578947367]"
U_8,0.1,0.3,0.0001,0.1,0.4482758620689655,"[0.3, 0.6206896551724138, 0.2631578947368421]"
U_8,0.1,0.4,0.1,0.05,0.64,"[0.3, 0.72, 0.7333333333333333]"
U_8,0.1,0.5,0.01,0.1,0.36585365853658536,"[0.2222222222222222, 0.6666666666666666, 0.07142857142857142]"
U_8,0.01,0.6,0.1,0.1,0.30303030303030304,"[0.2222222222222222, 0.6363636363636364, 0.07692307692307693]"
U_8,0.1,0.7,0.001,0.1,0.56,"[0.125, 0.625, 0.8888888888888888]"
U_8,0.05,0.8,0.0001,0.8,0.7058823529411765,"[0.2, 0.8, 1.0]"
U_8,0.05,0.9,0.1,0.05,0.8888888888888888,"[0, 0.5, 1.0]"
U_9,0.01,0.05,0.01,0.2,0.5525114155251142,"[0.2962962962962963, 0.7520661157024794, 0.3181818181818182]"
U_9,0.1,0.1,0.0001,0.9,0.5742574257425742,"[0.3076923076923077, 0.7090909090909091, 0.55]"
U_9,0.1,0.2,0.1,0.05,0.6777777777777778,"[0.6666666666666666, 0.7021276595744681, 0.631578947368421]"
U_9,0.1,0.3,0.1,0.05,0.6075949367088608,"[0.6666666666666666, 0.6739130434782609, 0.3888888888888889]"
U_9,0.1,0.4,0.1,0.2,0.6470588235294118,"[0.6666666666666666, 0.6578947368421053, 0.6]"
U_9,0.1,0.5,0.1,0.5,0.625,"[0.5384615384615384, 0.7241379310344828, 0.5]"
U_9,0.1,0.6,0.1,0.2,0.6888888888888889,"[0.6363636363636364, 0.7272727272727273, 0.6666666666666666]"
U_9,0.1,0.7,0.1,0.9,0.47058823529411764,"[0.5, 0.6428571428571429, 0.25]"
U_9,0.1,0.8,0.001,0.5,0.4782608695652174,"[0.8, 0.6666666666666666, 0.1111111111111111]"
U_9,0.1,0.9,0.01,0.05,0.4166666666666667,"[0.0, 0.75, 0.2857142857142857]"
