User,Threshold,LearningRate,Discount,Temperature,Accuracy
U_7,0.1,0.001,0.9,0.1,0.6888888888888889
U_7,0.2,0.0001,0.1,0.1,0.525
U_7,0.3,0.1,0.05,5.0,0.4
U_7,0.4,0.001,0.05,0.1,0.4666666666666667
U_7,0.5,0.01,0.99,5.0,0.6
U_7,0.6,0.01,0.99,1.0,0.4
U_7,0.7,0.001,0.1,1.0,0.8
U_7,0.8,0.001,0.99,0.1,0.8
U_7,0.9,0.1,0.9,8.0,0.6
U_8,0.05,0.0001,0.9,1.0,0.358974358974359
U_8,0.1,0.01,0.9,0.1,0.7162162162162162
U_8,0.2,0.1,0.9,8.0,0.7424242424242424
U_8,0.3,0.001,0.9,0.1,0.4827586206896552
U_8,0.4,0.01,0.8,1.0,0.74
U_8,0.5,0.001,0.1,1.0,0.7560975609756098
U_8,0.6,0.1,0.05,0.1,0.3333333333333333
U_8,0.7,1.0,0.05,8.0,0.6
U_8,0.8,0.01,0.05,10.0,0.8823529411764706
U_8,0.9,0.01,0.05,5.0,0.8888888888888888
U_9,0.05,0.001,0.05,1.0,0.616822429906542
U_9,0.1,0.01,0.5,10.0,0.594059405940594
U_9,0.2,0.01,0.1,10.0,0.7111111111111111
U_9,0.3,0.001,0.5,1.0,0.5949367088607594
U_9,0.4,0.1,0.1,1.0,0.6176470588235294
U_9,0.5,0.1,0.8,0.1,0.5892857142857143
U_9,0.6,0.01,0.99,0.1,0.5777777777777777
U_9,0.7,0.001,0.5,0.1,0.7058823529411765
U_9,0.8,0.01,0.05,8.0,0.782608695652174
U_9,0.9,0.001,0.5,0.1,0.8333333333333334
