Algorithm,User,Threshold,LearningRate,Discount,Epsilon,Accuracy,StateAccuracy,Reward
TAMER-Q,data/NDSI-2D/U_2,0.5,0.001,0.8,0.01,0.7419354838709677,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.6,0.001,0.5,0.01,0.7466666666666667,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.7,0.001,0.1,0.01,0.7471264367816092,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.8,0.001,0.05,0.01,0.73,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_2,0.9,0.0001,0.9,0.01,0.6964285714285714,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.05,1.0,0.5,0.1,0.8333333333333334,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.1,0.5,0.8,0.01,0.5384615384615384,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.2,0.0001,0.1,0.1,0.6923076923076923,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.3,0.001,0.1,0.05,0.7435897435897436,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.4,0.001,0.99,0.01,0.8461538461538461,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.5,0.01,0.1,0.01,0.8307692307692308,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.6,0.0001,0.05,0.01,0.8076923076923077,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.7,0.0001,0.1,0.01,0.8021978021978022,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.8,0.001,0.8,0.05,0.7692307692307693,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_20,0.9,0.0001,0.2,0.01,0.8461538461538461,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.05,0.0001,0.2,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.1,0.0001,0.05,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.2,0.0001,0.05,0.01,0.8888888888888888,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.3,0.01,0.05,0.1,0.8461538461538461,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.4,0.5,0.9,0.1,0.5555555555555556,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.5,1.0,0.99,0.01,0.8181818181818182,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.6,0.001,0.99,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_3,0.7,0.01,0.8,0.1,0.7419354838709677,"[None, None, None]",0
