u,Task,Dataset,Experiment,Openendedness,Total_interactions,Action_counts
stu26,2,movies,moviesace,open,175,"{'same': 117, 'modify-1': 57, 'modify-2': 1, 'modify-3': 0}"
stu29,2,movies,moviesade,open,160,"{'same': 86, 'modify-1': 22, 'modify-2': 42, 'modify-3': 10}"
stu30,2,movies,moviesadf,open,134,"{'same': 70, 'modify-1': 30, 'modify-2': 30, 'modify-3': 4}"
stu31,2,movies,moviesade,open,149,"{'same': 54, 'modify-1': 55, 'modify-2': 39, 'modify-3': 1}"
stu36,2,movies,moviesadf,open,144,"{'same': 62, 'modify-1': 62, 'modify-2': 18, 'modify-3': 2}"
stu37,2,movies,moviesadf,open,239,"{'same': 105, 'modify-1': 104, 'modify-2': 27, 'modify-3': 3}"
stu38,2,movies,moviesacf,open,229,"{'same': 125, 'modify-1': 39, 'modify-2': 53, 'modify-3': 12}"
stu39,2,movies,moviesadf,open,196,"{'same': 99, 'modify-1': 53, 'modify-2': 37, 'modify-3': 7}"
stu3,2,movies,moviesacf,open,296,"{'same': 211, 'modify-1': 28, 'modify-2': 49, 'modify-3': 8}"
stu4,2,movies,moviesade,open,149,"{'same': 96, 'modify-1': 27, 'modify-2': 23, 'modify-3': 3}"
stu6,2,movies,moviesacf,open,210,"{'same': 133, 'modify-1': 18, 'modify-2': 52, 'modify-3': 7}"
stu7,2,movies,moviesade,open,163,"{'same': 78, 'modify-1': 50, 'modify-2': 35, 'modify-3': 0}"
pro13,3,movies,moviesace,open,113,"{'same': 68, 'modify-1': 37, 'modify-2': 8, 'modify-3': 0}"
pro15,3,movies,moviesade,open,114,"{'same': 49, 'modify-1': 63, 'modify-2': 2, 'modify-3': 0}"
pro17,3,movies,moviesace,open,273,"{'same': 152, 'modify-1': 71, 'modify-2': 47, 'modify-3': 3}"
pro18,3,movies,moviesadf,open,76,"{'same': 29, 'modify-1': 47, 'modify-2': 0, 'modify-3': 0}"
pro20,3,movies,moviesade,open,246,"{'same': 149, 'modify-1': 94, 'modify-2': 3, 'modify-3': 0}"
pro21,3,movies,moviesade,open,309,"{'same': 174, 'modify-1': 79, 'modify-2': 54, 'modify-3': 2}"
pro22,3,movies,moviesade,open,136,"{'same': 94, 'modify-1': 30, 'modify-2': 12, 'modify-3': 0}"
pro23,3,movies,moviesacf,open,110,"{'same': 67, 'modify-1': 25, 'modify-2': 16, 'modify-3': 2}"
pro24,3,movies,moviesadf,open,110,"{'same': 66, 'modify-1': 26, 'modify-2': 15, 'modify-3': 3}"
pro25,3,movies,moviesacf,open,148,"{'same': 81, 'modify-1': 19, 'modify-2': 46, 'modify-3': 2}"
pro29,3,movies,moviesace,open,162,"{'same': 101, 'modify-1': 50, 'modify-2': 11, 'modify-3': 0}"
pro31,3,movies,moviesadf,open,153,"{'same': 67, 'modify-1': 24, 'modify-2': 58, 'modify-3': 4}"
pro3,3,movies,moviesace,open,151,"{'same': 90, 'modify-1': 54, 'modify-2': 7, 'modify-3': 0}"
pro5,3,movies,moviesadf,open,118,"{'same': 63, 'modify-1': 15, 'modify-2': 39, 'modify-3': 1}"
pro8,3,movies,moviesacf,open,94,"{'same': 53, 'modify-1': 14, 'modify-2': 26, 'modify-3': 1}"
pro9,3,movies,moviesacf,open,131,"{'same': 68, 'modify-1': 43, 'modify-2': 17, 'modify-3': 3}"
stu10,3,movies,moviesacf,open,141,"{'same': 98, 'modify-1': 23, 'modify-2': 20, 'modify-3': 0}"
stu11,3,movies,moviesadf,open,190,"{'same': 109, 'modify-1': 35, 'modify-2': 41, 'modify-3': 5}"
stu13,3,movies,moviesacf,open,117,"{'same': 65, 'modify-1': 14, 'modify-2': 36, 'modify-3': 2}"
stu15,3,movies,moviesade,open,239,"{'same': 60, 'modify-1': 138, 'modify-2': 37, 'modify-3': 4}"
stu17,3,movies,moviesace,open,72,"{'same': 26, 'modify-1': 26, 'modify-2': 17, 'modify-3': 3}"
stu21,3,movies,moviesace,open,106,"{'same': 77, 'modify-1': 29, 'modify-2': 0, 'modify-3': 0}"
stu24,3,movies,moviesace,open,159,"{'same': 74, 'modify-1': 71, 'modify-2': 14, 'modify-3': 0}"
stu25,3,movies,moviesace,open,109,"{'same': 45, 'modify-1': 32, 'modify-2': 30, 'modify-3': 2}"
stu26,3,movies,moviesace,open,358,"{'same': 224, 'modify-1': 124, 'modify-2': 10, 'modify-3': 0}"
stu29,3,movies,moviesade,open,195,"{'same': 94, 'modify-1': 55, 'modify-2': 42, 'modify-3': 4}"
stu30,3,movies,moviesadf,open,193,"{'same': 82, 'modify-1': 49, 'modify-2': 58, 'modify-3': 4}"
stu31,3,movies,moviesade,open,248,"{'same': 148, 'modify-1': 100, 'modify-2': 0, 'modify-3': 0}"
stu36,3,movies,moviesadf,open,143,"{'same': 83, 'modify-1': 40, 'modify-2': 20, 'modify-3': 0}"
stu37,3,movies,moviesadf,open,133,"{'same': 49, 'modify-1': 64, 'modify-2': 19, 'modify-3': 1}"
stu38,3,movies,moviesacf,open,98,"{'same': 55, 'modify-1': 23, 'modify-2': 20, 'modify-3': 0}"
stu39,3,movies,moviesadf,open,214,"{'same': 123, 'modify-1': 55, 'modify-2': 32, 'modify-3': 4}"
stu3,3,movies,moviesacf,open,251,"{'same': 171, 'modify-1': 39, 'modify-2': 37, 'modify-3': 4}"
stu4,3,movies,moviesade,open,59,"{'same': 33, 'modify-1': 15, 'modify-2': 11, 'modify-3': 0}"
stu6,3,movies,moviesacf,open,216,"{'same': 131, 'modify-1': 43, 'modify-2': 37, 'modify-3': 5}"
stu7,3,movies,moviesade,open,150,"{'same': 61, 'modify-1': 57, 'modify-2': 31, 'modify-3': 1}"
