Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,stu15_ade_p4,0.8,0.001,0.05,,0.45714285714285713,"[None, None, None]",0
Reinforce,stu15_ade_p4,0.9,0.01,0.2,,0.36363636363636365,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.05,0.0001,0.99,,0.5753086419753086,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.1,0.001,0.05,,0.6233766233766234,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.2,0.001,0.05,,0.6029411764705882,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.3,0.0001,0.05,,0.62,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.4,0.001,0.05,,0.6078431372549019,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.5,0.001,0.05,,0.5813953488372093,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.6,0.001,0.05,,0.5588235294117647,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.7,0.001,0.8,,0.6153846153846154,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.8,0.001,0.05,,0.5882352941176471,"[None, None, None]",0
Reinforce,stu29_ade_p4,0.9,0.001,0.05,,0.5555555555555556,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.05,0.0001,0.1,,0.6542857142857142,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.1,0.0001,0.8,,0.6666666666666666,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.2,0.0001,0.5,,0.6508474576271187,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.3,0.0001,0.5,,0.6307692307692307,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.4,0.0001,0.05,,0.6272727272727273,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.5,0.0001,0.05,,0.6756756756756757,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.6,0.0001,0.1,,0.6333333333333333,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.7,0.001,0.05,,0.6363636363636364,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.8,0.0001,0.05,,0.5333333333333333,"[None, None, None]",0
Reinforce,stu30_adf_p4,0.9,0.0001,0.1,,0.55,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.05,0.0001,0.05,,0.7525423728813558,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.1,0.001,0.8,,0.7785714285714286,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.2,0.0001,0.5,,0.768,"[None, None, None]",0
Reinforce,stu36_adf_p4,0.3,0.0001,0.5,,0.7454545454545455,"[None, None, None]",0
