User,Accuracy,Algorithm,StateAccuracy,GranularPredictions,Predictions,GroundTruth,Threshold,Openended,Task,LearningRate,Discount,Reward,Temperature,Epsilon
pro27_bcf_p1,0.9130434782608696,SARSA,0,,,,0.8,Focused,p1,0.1,0.99,1.0,0.0,0.05
stu14_bcf_p1,0.8333333333333334,SARSA,0,,,,0.8,Focused,p1,0.0001,0.8,1.0,0.0,0.1
stu19_bde_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.0001,0.1,1.0,0.0,0.05
stu20_bdf_p1,0.5,SARSA,0,,,,0.8,Focused,p1,0.1,0.8,1.0,0.0,0.5
pro7_bde_p1,0.7272727272727273,SARSA,0,,,,0.8,Focused,p1,0.1,0.1,1.0,0.0,0.1
stu18_bde_p1,0.6666666666666666,SARSA,0,,,,0.8,Focused,p1,0.001,0.9,1.0,0.0,0.5
stu12_bdf_p1,0.4615384615384615,SARSA,0,,,,0.8,Focused,p1,0.5,0.9,1.0,0.0,0.05
stu28_bde_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.001,0.1,1.0,0.0,0.05
pro2_bce_p1,0.6896551724137931,SARSA,0,,,,0.8,Focused,p1,0.0001,0.5,1.0,0.0,0.1
stu32_bce_p1,0.4285714285714285,SARSA,0,,,,0.8,Focused,p1,0.001,0.99,1.0,0.0,0.5
stu27_bdf_p1,0.8,SARSA,0,,,,0.8,Focused,p1,0.001,0.1,1.0,0.0,0.1
stu23_bdf_p1,0.5,SARSA,0,,,,0.8,Focused,p1,0.5,0.5,1.0,0.0,0.05
stu22_bde_p1,0.7692307692307693,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu8_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.0001,0.9,1.0,0.0,0.05
stu1_bce_p1,0.7083333333333334,SARSA,0,,,,0.8,Focused,p1,0.5,0.2,1.0,0.0,0.05
stu9_bcf_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu2_bce_p1,0.7222222222222222,SARSA,0,,,,0.8,Focused,p1,0.5,0.1,1.0,0.0,0.05
stu40_bdf_p1,0.875,SARSA,0,,,,0.8,Focused,p1,0.001,0.8,1.0,0.0,0.1
stu33_bce_p1,1.0,SARSA,0,,,,0.8,Focused,p1,0.5,0.8,1.0,0.0,0.05
stu16_bcf_p1,0.6,SARSA,0,,,,0.8,Focused,p1,0.1,0.05,1.0,0.0,0.05
stu5_bcf_p1,0.6923076923076923,SARSA,0,,,,0.8,Focused,p1,0.0001,0.5,1.0,0.0,0.1
stu34_bcf_p1,0.7142857142857143,SARSA,0,,,,0.8,Focused,p1,0.01,0.2,1.0,0.0,0.1
stu35_bde_p1,0.631578947368421,SARSA,0,,,,0.8,Focused,p1,0.0001,0.99,1.0,0.0,0.05
pro10_bdf_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro11_bcf_p1,0.3888888888888889,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro12_bdf_p1,0.2666666666666666,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro14_bdf_p1,0.375,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro16_bce_p1,0.0,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro19_bcf_p1,0.2307692307692307,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro1_bcf_p1,0.1666666666666666,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro26_bde_p1,0.2727272727272727,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro27_bcf_p1,0.2608695652173913,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro28_bce_p1,0.2857142857142857,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro2_bce_p1,0.3448275862068966,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro30_bde_p1,0.1428571428571428,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro32_bdf_p1,0.25,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro4_bce_p1,0.4285714285714285,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro6_bde_p1,0.5,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
pro7_bde_p1,0.1818181818181818,WSLS,"[None, None, None]",,,,0.8,Focused,p1,0.0,0.0,,,
