Time,State,action,reward,visualization,subtask
00:33:05,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:10,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:11,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:12,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:13,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:14,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:15,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:17,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:18,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:22,(Question+geo-0-1),pan,0.0,geo-0-1,3
00:33:25,(Question+geo-0-1),pan,0.0,geo-0-1,3
00:33:26,(Question+geo-0-1),pan,0.0,geo-0-1,3
00:33:29,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:30,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:31,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:35,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:33:36,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:33:37,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:33:39,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:40,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:41,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:42,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:44,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:33:47,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:48,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:49,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:52,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:33:53,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:54,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:33:56,(Sensemaking+bar-5),brush,0.0,bar-5,3
00:33:57,(Sensemaking+bar-5),brush,0.0,bar-5,3
00:34:02,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:04,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:05,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:06,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:07,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:08,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:11,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:13,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:14,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:15,(Sensemaking+bar-5),range select,0.0,bar-5,3
00:34:19,(Sensemaking+hist-2),range select,0.0,hist-2,3
00:34:24,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:25,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:26,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:27,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:28,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:29,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:30,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:31,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:32,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:33,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:33,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:34,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:35,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:37,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:38,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:39,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:40,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:41,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:42,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:43,(Sensemaking+hist-2),brush,0.0,hist-2,3
00:34:45,(Sensemaking+hist-2),range select,0.0,hist-2,3
00:34:46,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:47,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:48,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:49,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:50,(Sensemaking+geo-0-1),zoom,0.0,geo-0-1,3
00:34:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:51,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:34:52,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:00,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:03,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:05,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:06,(Sensemaking+geo-0-1),pan,0.0,geo-0-1,3
00:35:10,(Sensemaking+geo-0-1),range select,0.5,geo-0-1,3
00:35:11,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:17,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:18,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:19,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:27,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:28,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:29,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:30,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:33,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,3
00:35:34,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:35,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:36,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:37,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:38,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:47,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:48,(Sensemaking+geo-0-1),range select,0.25,geo-0-1,3
00:35:49,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:51,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:52,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:53,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:54,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:55,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
00:35:56,(Sensemaking+geo-0-1),range select,0.0,geo-0-1,3
