User,Accuracy,Threshold,LearningRate,Discount,Algorithm
stu15_ade_p4,0.3972602739726027,0.7,0,0,HMM
stu15_ade_p4,0.30612244897959184,0.8,0,0,HMM
stu15_ade_p4,0.36,0.9,0,0,HMM
stu17_ace_p4,0.3333333333333333,0.05,0,0,HMM
stu17_ace_p4,0.42424242424242425,0.1,0,0,HMM
stu17_ace_p4,0.4406779661016949,0.2,0,0,HMM
stu17_ace_p4,0.2549019607843137,0.3,0,0,HMM
stu17_ace_p4,0.29545454545454547,0.4,0,0,HMM
stu17_ace_p4,0.43243243243243246,0.5,0,0,HMM
stu17_ace_p4,0.36666666666666664,0.6,0,0,HMM
stu17_ace_p4,0.391304347826087,0.7,0,0,HMM
stu17_ace_p4,0.6,0.8,0,0,HMM
stu17_ace_p4,0.5,0.9,0,0,HMM
stu21_ace_p4,0.28431372549019607,0.05,0,0,HMM
stu21_ace_p4,0.40625,0.1,0,0,HMM
stu21_ace_p4,0.5581395348837209,0.2,0,0,HMM
stu21_ace_p4,0.6666666666666666,0.3,0,0,HMM
stu21_ace_p4,0.6461538461538462,0.4,0,0,HMM
stu21_ace_p4,0.7037037037037037,0.5,0,0,HMM
stu21_ace_p4,0.6511627906976745,0.6,0,0,HMM
stu21_ace_p4,0.6666666666666666,0.7,0,0,HMM
stu21_ace_p4,0.5454545454545454,0.8,0,0,HMM
stu21_ace_p4,0.5833333333333334,0.9,0,0,HMM
stu24_ace_p4,0.4276315789473684,0.05,0,0,HMM
stu24_ace_p4,0.4375,0.1,0,0,HMM
stu24_ace_p4,0.421875,0.2,0,0,HMM
stu24_ace_p4,0.19642857142857142,0.3,0,0,HMM
stu24_ace_p4,0.1875,0.4,0,0,HMM
stu24_ace_p4,0.1375,0.5,0,0,HMM
stu24_ace_p4,0.18461538461538463,0.6,0,0,HMM
stu24_ace_p4,0.3469387755102041,0.7,0,0,HMM
stu24_ace_p4,0.21212121212121213,0.8,0,0,HMM
stu24_ace_p4,0.17647058823529413,0.9,0,0,HMM
stu25_ace_p4,0.3523809523809524,0.05,0,0,HMM
stu25_ace_p4,0.3333333333333333,0.1,0,0,HMM
stu25_ace_p4,0.3522727272727273,0.2,0,0,HMM
stu25_ace_p4,0.2597402597402597,0.3,0,0,HMM
stu25_ace_p4,0.2878787878787879,0.4,0,0,HMM
stu25_ace_p4,0.26785714285714285,0.5,0,0,HMM
stu25_ace_p4,0.15555555555555556,0.6,0,0,HMM
stu25_ace_p4,0.14705882352941177,0.7,0,0,HMM
stu25_ace_p4,0.043478260869565216,0.8,0,0,HMM
stu25_ace_p4,0.75,0.9,0,0,HMM
stu26_ace_p4,0.3724340175953079,0.05,0,0,HMM
stu26_ace_p4,0.15789473684210525,0.1,0,0,HMM
stu26_ace_p4,0.40069686411149824,0.2,0,0,HMM
stu26_ace_p4,0.45634920634920634,0.3,0,0,HMM
stu26_ace_p4,0.23148148148148148,0.4,0,0,HMM
stu26_ace_p4,0.2833333333333333,0.5,0,0,HMM
stu26_ace_p4,0.4166666666666667,0.6,0,0,HMM
stu26_ace_p4,0.21296296296296297,0.7,0,0,HMM
stu26_ace_p4,0.4520547945205479,0.8,0,0,HMM
stu26_ace_p4,0.4864864864864865,0.9,0,0,HMM
stu29_ade_p4,0.4032258064516129,0.05,0,0,HMM
stu29_ade_p4,0.26704545454545453,0.1,0,0,HMM
stu29_ade_p4,0.17197452229299362,0.2,0,0,HMM
stu29_ade_p4,0.2463768115942029,0.3,0,0,HMM
stu29_ade_p4,0.1694915254237288,0.4,0,0,HMM
stu29_ade_p4,0.02040816326530612,0.5,0,0,HMM
stu29_ade_p4,0.24050632911392406,0.6,0,0,HMM
stu29_ade_p4,0.21666666666666667,0.7,0,0,HMM
stu29_ade_p4,0.2,0.8,0,0,HMM
stu29_ade_p4,0.15,0.9,0,0,HMM
stu30_adf_p4,0.3641304347826087,0.05,0,0,HMM
stu30_adf_p4,0.3028571428571429,0.1,0,0,HMM
stu30_adf_p4,0.11612903225806452,0.2,0,0,HMM
stu30_adf_p4,0.0661764705882353,0.3,0,0,HMM
stu30_adf_p4,0.18803418803418803,0.4,0,0,HMM
stu30_adf_p4,0.08163265306122448,0.5,0,0,HMM
stu30_adf_p4,0.21794871794871795,0.6,0,0,HMM
stu30_adf_p4,0.3559322033898305,0.7,0,0,HMM
stu30_adf_p4,0.275,0.8,0,0,HMM
stu30_adf_p4,0.25,0.9,0,0,HMM
stu31_ade_p4,0.5822784810126582,0.05,0,0,HMM
