Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1,rank
ActorCritic,stu10_acf_p4,0.05,0.1,0.2,1.0,0.7014925373134329,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.1,0.001,0.5,1.0,0.7007874015748031,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.2,0.0001,0.1,1.0,0.7168141592920354,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.3,0.001,0.99,1.0,0.7171717171717171,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.4,0.1,0.1,1.0,0.6941176470588235,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.5,0.0001,0.05,1.0,0.7605633802816901,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.6,0.0001,0.9,1.0,0.6842105263157895,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.7,0.0001,0.9,1.0,0.627906976744186,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.8,0.001,0.1,1.0,0.6896551724137931,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu10_acf_p4,0.9,1.0,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.05,0.0001,0.2,1.0,0.5102040816326531,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.1,0.001,0.05,1.0,0.5842293906810035,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.2,0.001,0.99,1.0,0.5887096774193549,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.3,0.001,0.8,1.0,0.6036866359447005,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.4,0.0001,0.05,1.0,0.6397849462365591,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.5,0.001,0.1,1.0,0.6645161290322581,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.6,0.0001,0.05,1.0,0.7258064516129032,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.7,0.5,0.05,1.0,0.7526881720430108,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.8,0.0001,0.9,1.0,0.7419354838709677,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,pro21_ade_p4,0.9,0.01,0.5,1.0,0.8064516129032258,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.05,0.001,0.8,1.0,0.3768115942028985,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.1,0.1,0.1,1.0,0.3538461538461538,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.2,0.0001,0.9,1.0,0.293103448275862,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.3,0.001,0.05,1.0,0.2156862745098039,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
ActorCritic,stu17_ace_p4,0.4,0.001,0.05,1.0,0.1818181818181818,"[None, None, None]",0.0,0.0,Openended,p4,,,,,
